	 activite	Type	date	Temps	Distance	Gain_altitude	Perte_altitude	Vitesse_moy	Vitesse_max	Calories	jour	mois	annee	date2	heure	date2_heure	temp	humidity	wind_speed	wind_degree	clouds_coverage	rain	pressure
101	 Sans titre	Course à pied	dim., 14 sept. 2014 7:13	01:01:26	11,81	120	121	05:12	02:09	979.0	14	septembre	2014	14/09/2014	07:13	14/09/2014 07:13	293.64	52	3.6	30	0	NA	1015
102	 michael	Course à pied	ven., 12 sept. 2014 5:41	01:00:27	11,81	133	134	05:07	04:24	980.0	12	septembre	2014	12/09/2014	05:41	12/09/2014 05:41	292.15	42	6.7	350	0	NA	1012
103	 michael	Course à pied	jeu., 11 sept. 2014 5:38	55:55:00	10,77	117	115	05:12	04:11	894.0	11	septembre	2014	11/09/2014	05:38	11/09/2014 05:38	290.64	59	2.6	360	0	NA	1010
104	 michael	Course à pied	mer., 10 sept. 2014 5:50	58:33:00	10,76	109	106	05:27	04:19	891.0	10	septembre	2014	10/09/2014	05:50	10/09/2014 05:50	293.13	64	2.6	330	0	NA	1013
105	 michael	Course à pied	mar., 9 sept. 2014 6:04	01:00:52	10,76	115	112	05:39	02:48	892.0	9	septembre	2014	09/09/2014	06:04	09/09/2014 06:04	290.15	82	1.5	350	90	23	1016
106	 michael	Course à pied	lun., 8 sept. 2014 5:45	56:27:00	9,69	102	101	05:50	05:08	799.0	8	septembre	2014	08/09/2014	05:45	08/09/2014 05:45	295.66	78	2.6	120	92	3	1015
107	 michael	Course à pied	dim., 7 sept. 2014 8:11	01:45:59	20,14	228	229	05:16	04:02	1.661	7	septembre	2014	07/09/2014	08:11	07/09/2014 08:11	297.27	53	1.5	80	0	NA	1013
108	 Sans titre	Course à pied	sam., 6 sept. 2014 6:52	55:58:00	10,82	112	110	05:10	04:31	901.0	6	septembre	2014	06/09/2014	06:52	06/09/2014 06:52	296.15	53	2.6	360	0	0	1012
109	 michael	Course à pied	ven., 5 sept. 2014 5:45	56:32:00	10,36	114	112	05:28	02:53	856.0	5	septembre	2014	05/09/2014	05:45	05/09/2014 05:45	291.15	77	1	20	64	NA	1015
110	 michael	Course à pied	jeu., 4 sept. 2014 6:03	56:14:00	10,78	119	121	05:13	04:38	894.0	4	septembre	2014	04/09/2014	06:03	04/09/2014 06:03	290.13	63	2.1	20	0	NA	1014
111	 michael_1er-run_Kayano-20	Course à pied	mer., 3 sept. 2014 5:47	56:47:00	10,75	112	114	05:17	03:01	896.0	3	septembre	2014	03/09/2014	05:47	03/09/2014 05:47	290.34	56	1	67	0	NA	1002.1
112	 michael	Course à pied	mar., 2 sept. 2014 6:02	01:01:15	11,84	126	124	05:10	04:15	979.0	2	septembre	2014	02/09/2014	06:02	02/09/2014 06:02	288.53	42	6.2	10	0	NA	1013
113	 michael	Course à pied	lun., 1 sept. 2014 6:00	01:03:58	11,81	128	126	05:25	04:47	976.0	1	septembre	2014	01/09/2014	06:00	01/09/2014 06:00	292.15	42	5.7	330	0	NA	1016
114	  michael	Course à pied	mer., 15 oct. 2014 5:37	56:50:00	11,84	133	133	04:48	03:38	984.0	15	octobre	2014	15/10/2014	05:37	15/10/2014 05:37	288.17	82	1	0	32	0	1009
115	 Sans titre	Course à pied	lun., 13 oct. 2014 6:23	53:00:00	10,16	115	120	05:13	02:43	843.0	13	octobre	2014	13/10/2014	06:23	13/10/2014 06:23	291.11	82	4.1	180	40	49.5	1008
116	 Sans titre	Course à pied	jeu., 9 oct. 2014 5:50	55:56:00	10,48	74	77	05:20	03:57	871.0	9	octobre	2014	09/10/2014	05:50	09/10/2014 05:50	293.19	77	4.1	120	75	12	1012
117	 Sans titre	Course à pied	mer., 8 oct. 2014 5:30	52:49:00	10,53	70	71	05:01	03:57	881.0	8	octobre	2014	08/10/2014	05:30	08/10/2014 05:30	291.64	88	6.7	120	75	0	1012
118	 Sans titre	Course à pied	mar., 7 oct. 2014 5:32	56:04:00	10,79	113	115	05:12	04:16	894.0	7	octobre	2014	07/10/2014	05:32	07/10/2014 05:32	290.64	88	3.6	120	80	0	1010
119	 Sans titre	Course à pied	lun., 6 oct. 2014 5:45	01:00:39	11,8	128	126	05:08	04:05	977.0	6	octobre	2014	06/10/2014	05:45	06/10/2014 05:45	285.17	76	1.5	50	56	NA	1014
120	 Sans titre	Course à pied	dim., 5 oct. 2014 7:30	56:42:00	10,74	117	115	05:17	03:31	887.0	5	octobre	2014	05/10/2014	07:30	05/10/2014 07:30	289.66	82	2.02	287	12	NA	1015
121	 Sans titre	Randonnée pédestre	sam., 4 oct. 2014 13:08	01:13:09	3,45	6	313	21:11	09:09	217.0	4	octobre	2014	04/10/2014	13:08	04/10/2014 13:08	298.41	53	2.6	260	36	NA	1017
122	 Sans titre	Randonnée pédestre	sam., 4 oct. 2014 10:53	01:23:19	3,58	310	16	23:17	01:49	230.0	4	octobre	2014	04/10/2014	10:53	04/10/2014 10:53	299.43	50	1.5	0	0	NA	1018
123	 Sans titre	Course à pied	ven., 3 oct. 2014 5:49	59:05:00	11,79	129	132	05:01	03:19	975.0	3	octobre	2014	03/10/2014	05:49	03/10/2014 05:49	288.13	72	1.5	0	0	NA	1022
124	 Sans titre	Course à pied	jeu., 2 oct. 2014 5:38	01:01:21	11,81	133	134	05:12	04:25	975.0	2	octobre	2014	02/10/2014	05:38	02/10/2014 05:38	289.66	63	3.1	360	0	NA	1023
125	 Sans titre	Course à pied	mer., 1 oct. 2014 5:49	01:01:10	11,77	128	131	05:12	02:24	970.0	1	octobre	2014	01/10/2014	05:49	01/10/2014 05:49	289.88	77	2.1	300	0	2	1024
126	 Sans titre	Course à pied	mar., 30 sept. 2014 5:45	01:00:14	11,79	127	124	05:06	04:07	979.0	30	septembre	2014	30/09/2014	05:45	30/09/2014 05:45	290.66	82	2.1	30	92	53.5	1025
